Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
04/24/2021,04/27/2021,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/24/2021,04/27/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/25/2021,04/25/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-310.88"
04/23/2021,04/24/2021,"SQ *HOMEROOM TO GO 4007 WEBSTER ST. OAKLAND 94609 CA USA","Homeroom To-Go","Restaurants","Purchase","13.75"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
04/22/2021,04/23/2021,"SAFEWAY #3125 3889 SAN PABLO AVE EMERYVILLE 94608 CA USA","Safeway","Grocery","Purchase","10.39"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","49.99"
04/22/2021,04/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
04/21/2021,04/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
04/21/2021,04/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
04/21/2021,04/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
04/21/2021,04/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
04/22/2021,04/22/2021,"THE ONE WIRELESS & GIF1019 UNIVERSITY AVE BERKELEY 94710 CA USA","The One Wireless & Gif","Other","Purchase","93.59"
04/20/2021,04/21/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/19/2021,04/21/2021,"SAFEWAY #3125 3889 SAN PABLO AVE EMERYVILLE 94608 CA USA","Safeway","Grocery","Purchase","3.27"
04/20/2021,04/21/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/18/2021,04/20/2021,"EXTRA SPACE 1371 601 CEDAR STREET BERKELEY 94710 CA USA","Extra Space Storage","Other","Purchase","24.00"
04/15/2021,04/15/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-40.96"
04/13/2021,04/14/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
04/08/2021,04/09/2021,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/08/2021,04/08/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/03/2021,04/05/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","3.99"
04/04/2021,04/04/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-343.30"
04/02/2021,04/02/2021,"SOUNDCLOUD INC 510 TREAT AVE SAN FRANCISCO94110 CA USA","Soundcloud","Utilities","Purchase","4.99"
04/01/2021,04/02/2021,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","264.66"
03/31/2021,04/01/2021,"TMOBILE*PREPD AUTOPY 12920 SE 38TH ST 877-778-2106 98006 WA USA","T-Mobile","Other","Purchase","26.68"
